tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
359,47,1,23,24,184.16,0.1043,0.782506,0.8236,479.28,False
360,47,1,15,16,280.42,0.2587,0.372934,0.8333,209.67,False
361,47,1,12,13,254.23,0.3653,0.204583,0.8389,239.47,False
362,47,1,9,10,282.7,0.1463,0.832735,0.8333,164.44,False
363,47,1,20,21,264.35,0.1616,0.598892,0.8296,147.93,False
364,47,1,18,19,349.26,0.0632,0.932452,0.8322,26.36,False
365,47,1,12,13,273.94,0.3636,0.207701,0.8389,139.15,False
366,47,1,7,8,256.54,0.5624,0.107334,0.8311,267.95,False
367,47,1,8,9,134.35,0.0074,0.999587,0.8296,194.45,False
368,47,1,0,1,,0.0,1.0,0.0,0.0,False
369,47,1,11,12,240.54,0.4128,0.154426,0.7678,488.83,False
370,47,1,10,11,258.85,0.3174,0.374827,0.7995,255.26,False
371,47,1,9,10,189.58,0.2618,0.552829,0.6667,287.77,False
372,47,1,9,10,210.33,0.1259,0.873387,0.6667,345.95,False
373,47,1,8,9,249.82,0.6163,0.042589,0.6454,508.76,True
374,47,1,7,8,238.79,0.5881,0.085278,0.564,280.0,False
375,47,1,6,7,173.89,0.1397,0.897525,0.5941,305.43,False
376,47,1,6,7,235.01,0.5893,0.123612,0.5179,293.21,False
377,47,1,3,4,221.72,0.8261,0.128552,0.441,158.49,False
378,47,1,1,2,237.55,1.0,0.512221,0.4082,38.1,False
379,47,1,19,20,52.17,0.1709,0.58029,0.8276,65.24,False
380,47,1,12,13,38.56,0.2545,0.46916,0.8156,271.28,False
381,47,1,15,16,71.1,0.5146,0.016217,0.8353,517.52,True
382,47,1,3,4,32.87,0.4287,0.61783,0.8353,292.73,False
383,47,1,15,16,75.67,0.4642,0.036653,0.8353,317.9,False
384,47,1,16,17,61.09,0.3852,0.091788,0.8315,468.7,False
385,47,1,10,11,76.5,0.507,0.0735,0.8401,253.88,False
386,47,1,6,7,91.73,0.3219,0.557161,0.8315,329.88,False
387,47,1,12,13,31.67,0.2192,0.571733,0.8421,328.78,False
388,47,1,3,4,63.01,0.9945,0.035248,0.8353,137.45,False
389,47,1,11,12,58.53,0.5714,0.023661,0.8393,345.79,True
390,47,1,6,7,51.1,0.6601,0.067649,0.8172,280.91,False
391,47,1,13,14,55.25,0.5641,0.013068,0.8069,478.83,True
392,47,1,5,6,74.69,0.7466,0.053614,0.8543,324.62,False
393,47,1,10,11,50.47,0.3901,0.222719,0.8421,352.38,False
